title,price,link,category,storage,average_price,median_price
iPhone 11 64GB,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=373883424,Regular,64GB,1890.70,1950.00
iPhone 11 pro,2500,https://www.finn.no/recommerce/forsale/item/373933990,Pro,Unknown,1964.12,2000.00
iPhone 11,1500,https://www.finn.no/recommerce/forsale/item/373932113,Regular,Unknown,2029.98,2000.00
iPhone 11 pro Max,2000,https://www.finn.no/recommerce/forsale/item/373931563,Pro Max,Unknown,2262.44,2000.00
iPhone 11 PRO 256 GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=373924945,Pro,256GB,2224.88,2150.00
iPhone 11 64GB svart (Knust Skjerm),1600,https://www.finn.no/bap/forsale/ad.html?finnkode=373893645,Regular,64GB,1890.70,1950.00
iPhone 11 pro,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373878746,Pro,Unknown,1964.12,2000.00
iPhone 11,2200,https://www.finn.no/recommerce/forsale/item/373854335,Regular,Unknown,2029.98,2000.00
iPhone 11,1300,https://www.finn.no/bap/forsale/ad.html?finnkode=373833742,Regular,Unknown,2029.98,2000.00
iPhone 11 pro,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373711121,Pro,Unknown,1964.12,2000.00
iPhone 12,2499,https://www.finn.no/bap/forsale/ad.html?finnkode=373576089,Regular,Unknown,2613.59,2500.00
Pent brukt Apple iPhone 11 Pro 64GB Space Gray,2500,https://www.finn.no/recommerce/forsale/item/357095377,Pro,64GB,2500.00,2500.00
iPhone 11,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=372994927,Regular,Unknown,2029.98,2000.00
iPhone 11,1750,https://www.finn.no/bap/forsale/ad.html?finnkode=373511664,Regular,Unknown,2029.98,2000.00
iPhone 11 pro 64gb,2499,https://www.finn.no/bap/forsale/ad.html?finnkode=373501253,Pro,64GB,2077.67,2499.00
iPhone 12 pro 256 gb sølv.Solgt,2450,https://www.finn.no/bap/forsale/ad.html?finnkode=373505762,Pro,256GB,5306.12,5500.00
iPhone 13 128GB Midnight,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=373500028,Regular,128GB,4671.25,5390.00
iPhone 12 64GB Black,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373499769,Regular,64GB,2477.22,2500.00
Apple iPhone 11 PRO MAX - 64GB - Hvit,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=373477838,Pro Max,64GB,2000.00,2000.00
Apple iPhone 11 PRO - 256GB - Hvit,1600,https://www.finn.no/bap/forsale/ad.html?finnkode=344242048,Pro,256GB,7092.60,7000.00
Apple iPhone 11 PRO - Gull,1400,https://www.finn.no/bap/forsale/ad.html?finnkode=373472682,Pro,Unknown,8044.07,8125.00
iPhone 11,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=373472212,Regular,Unknown,2029.98,2000.00
Pent brukt Svart iPhone 11,1200,https://www.finn.no/bap/forsale/ad.html?finnkode=326141443,Regular,Unknown,3099.50,3099.50
iPhone 11 Pro,1000,https://www.finn.no/bap/forsale/ad.html?finnkode=373438804,Pro,Unknown,1964.12,2000.00
iPhone 12 64GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373369381,Regular,64GB,2477.22,2500.00
iPhone 11 128 gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=373336267,Regular,128GB,2166.62,2000.00
iPhone 13,2199,https://www.finn.no/bap/forsale/ad.html?finnkode=373319189,Regular,Unknown,4788.55,5000.00
iPhone 12 64GB Sort,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373282621,Regular,64GB,2477.22,2500.00
iPhone 11 (Hvit),2200,https://www.finn.no/bap/forsale/ad.html?finnkode=373278820,Regular,Unknown,2029.98,2000.00
iPhone 13 128GB,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=373263154,Regular,128GB,4671.25,5390.00
iPhone 12 rød 64 GB med ny skjerm. Billig!,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=373200163,Regular,64GB,2477.22,2500.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373178166,Regular,Unknown,2029.98,2000.00
iPhone 11,1450,https://www.finn.no/bap/forsale/ad.html?finnkode=373169872,Regular,Unknown,2029.98,2000.00
iPhone 11 Pro Max,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=373154636,Pro Max,Unknown,2262.44,2000.00
iPhone 11 pro max,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=373133919,Pro Max,Unknown,2262.44,2000.00
iPhone 11 Pro (med 256gb!),1999,https://www.finn.no/bap/forsale/ad.html?finnkode=373061454,Pro,256GB,2224.88,2150.00
iPhone 12,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=373054436,Regular,Unknown,2613.59,2500.00
iPhone 13,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=373009470,Regular,Unknown,4788.55,5000.00
iPhone 11 - 128 gb lagrings plass,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372967639,Regular,128GB,2166.62,2000.00
iPhone 11,1700,https://www.finn.no/bap/forsale/ad.html?finnkode=372898123,Regular,Unknown,2029.98,2000.00
iPhone 11 pro Max 256 GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372921499,Pro Max,256GB,2375.00,2375.00
iPhone 11 Pro - Midnattsgrønn,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=372854117,Pro,Unknown,1964.12,2000.00
iPhone 12 Pro,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372785318,Pro,Unknown,3666.67,2500.00
iPhone 11 Pro,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372764044,Pro,Unknown,1964.12,2000.00
iPhone 12 med AirPods 1 gen,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=156018125,Regular,Unknown,2613.59,2500.00
iPhone 15 Pro max mobildeksler 10 stk,500,https://www.finn.no/bap/forsale/ad.html?finnkode=372654253,Pro Max,Unknown,12800.44,13000.00
iPhone 12 Pro,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372617941,Pro,Unknown,3666.67,2500.00
iPhone 11 pro Max,1799,https://www.finn.no/bap/forsale/ad.html?finnkode=372613307,Pro Max,Unknown,2262.44,2000.00
iPhone 11,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372548512,Regular,Unknown,2029.98,2000.00
iPhone 11 64GB (Black),2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372537314,Regular,64GB,1890.70,1950.00
iPhone 11 pro 64GB,1000,https://www.finn.no/bap/forsale/ad.html?finnkode=372534348,Pro,64GB,2077.67,2499.00
iPhone 12,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372480046,Regular,Unknown,2613.59,2500.00
iPhone 11 (rød) til salgs – Ubrukte deler eller reparasjon,900,https://www.finn.no/bap/forsale/ad.html?finnkode=372494803,Regular,Unknown,2029.98,2000.00
iPhone 11 pro,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=364945592,Pro,Unknown,1964.12,2000.00
iPhone 11 Pro - 256GB - Midnight grey,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372481886,Pro,256GB,2224.88,2150.00
iPhone 11 64 GB sort,1000,https://www.finn.no/bap/forsale/ad.html?finnkode=372480759,Regular,64GB,1890.70,1950.00
iPhone 11 64GB,1750,https://www.finn.no/bap/forsale/ad.html?finnkode=372459166,Regular,64GB,1890.70,1950.00
iPhone 11 128GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372425642,Regular,128GB,2166.62,2000.00
iPhone 11 mint 128gb,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372395657,Regular,128GB,2166.62,2000.00
iPhone 11 pro Max 64 GB   Baterikapasitet 82%,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=372373895,Pro Max,64GB,3190.00,2000.00
iPhone 11 64GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372363525,Regular,64GB,1890.70,1950.00
iPhone 11 Pro,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=372351586,Pro,Unknown,1964.12,2000.00
iPhone 11 pro Max 64GB,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=372333471,Pro Max,64GB,3190.00,2000.00
iPhone 14 Pro Boks,500,https://www.finn.no/bap/forsale/ad.html?finnkode=372337392,Pro,Unknown,7482.00,7450.00
iPhone 11,1000,https://www.finn.no/bap/forsale/ad.html?finnkode=372317095,Regular,Unknown,2029.98,2000.00
