title,price,link
iPhone 11 Pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372764044
iPhone 12 med AirPods 1 gen,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=156018125
iPhone 12,1 999 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372759596
"iPhone 12, 64gb",2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372684270
iPhone 15 Pro max mobildeksler 10 stk,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372654253
iPhone 11 64 GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372647436
iPhone 12 Pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372617941
iPhone 11 pro Max,1 999 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372613307
iPhone 11 128 GB sort selges komplett i god stand! :),2 295 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372613430
iPhone 11 til salgs - med deksel - kortholder og ladekabler,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372586176
iPhone 11,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372548512
iPhone 11 64GB (Black),2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372537314
iPhone 11 pro 64GB,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372534348
"Apple iPhone 11 64gb, mintgrønn,",2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372531243
iPhone 11 (rød) til salgs – Ubrukte deler eller reparasjon,900 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372494803
iPhone 11 pro,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=364945592
iPhone 11 Pro - 256GB - Midnight grey,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372481886
iPhone 11 64 GB sort,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372480759
iPhone 11 64GB,1 750 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372459166
iPhone 11 128GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372425642
iPhone 11 mint 128gb,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372395657
"iPhone 11, funker optimalt:)",2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372378480
iPhone 11 pro Max 64 GB   Baterikapasitet 82%,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372373895
iPhone 11 64GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372363525
iPhone 11 Pro,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372351586
iPhone 11 pro Max 64GB,1 700 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372333471
iPhone 14 Pro Boks,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372337392
"iPhone 11, 64 GB",2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372326799
iPhone 11,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372317095
iPhone 11,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372311512
"iPhone 12, 64gb svart",2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372278057
Brukt beskyttelse til iPhone 15 Pro Max og iPhone 11 Pro Max – Som nye!,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372250019
iPhone 12 grønn 128gb,2 400 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372248892
iPhone 12 mini 128 GB med 2 deksler,2 499 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372241620
iPhone 11 pro 64gb,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372234465
iPhone 12Pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372225896
iPhone 11 Helt ny skjerm!,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372231297
Pent bruk iPhone 11 128GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372224241
iPhone 11 i lilla 64gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372229341
"beskyttelsesglass til iPhone 14 pro max, med automatisk fikse",600 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372223830
iPhone 12,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372180758
iPhone 12 64GB,2 290 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372200637
"iPhone 11, 12, 13, 14, 15 PRO / PRO MAX (Gratis frakt!)",999 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372181215
Brukt iPhone 11 128 GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372171551
iPhone 11,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372124851
iPhone 12 (Lilla),2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372115024
"Pent brukt iPhone 11, svart, 64GB – Kjøp den i dag!",2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372091140
iPhone 14pluss,560 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=362582882
iPhone 11,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372042813
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371979644
iPhone 11Pro 64GB gull,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=361377135
