title,price,link,category,storage
iPhone 12 mini 128Gb,1 900 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373998006,Regular,128GB
iPhone 11 Pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373995508,Pro,Unknown
iPhone 11 Pro 256GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373976190,Pro,256GB
iPhone 11 pro selges,1 800 kr,https://www.finn.no/recommerce/forsale/item/373971425,Regular,Unknown
iPhone 11,2 500 kr,https://www.finn.no/recommerce/forsale/item/373946077,Regular,Unknown
iPhone 11 64GB,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373883424,Regular,64GB
iPhone 11 pro,2 500 kr,https://www.finn.no/recommerce/forsale/item/373933990,Regular,Unknown
iPhone 11,1 500 kr,https://www.finn.no/recommerce/forsale/item/373932113,Regular,Unknown
iPhone 11 pro Max,2 000 kr,https://www.finn.no/recommerce/forsale/item/373931563,Regular,Unknown
iPhone 11 PRO 256 GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373924945,Regular,256GB
iPhone 11 64GB svart (Knust Skjerm),1 600 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373893645,Regular,64GB
iPhone 11 pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373878746,Regular,Unknown
iPhone 11,2 200 kr,https://www.finn.no/recommerce/forsale/item/373854335,Regular,Unknown
iPhone 11,1 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373833742,Regular,Unknown
iPhone 12 mini 64GB (knust),1 750 kr,https://www.finn.no/recommerce/forsale/item/373780812,Regular,64GB
iPhone 11 pro,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373711121,Regular,Unknown
iPhone 15 pro Max deksel,2 000 kr,https://www.finn.no/recommerce/forsale/item/373639573,Regular,Unknown
iPhone 12,2 499 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373576089,Regular,Unknown
Pent brukt Apple iPhone 11 Pro 64GB Space Gray,2 500 kr,https://www.finn.no/recommerce/forsale/item/357095377,Pro,64GB
iPhone 13 selges billig pga sperret tlf,1 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373557156,Regular,Unknown
iPhone 11,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372994927,Regular,Unknown
iPhone 11,1 750 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373511664,Regular,Unknown
iPhone 11 pro 64gb,2 499 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373501253,Regular,64GB
iPhone 12 pro 256 gb sølv.Solgt,2 450 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373505762,Regular,256GB
iPhone 13 128GB Midnight,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373500028,Regular,128GB
iPhone 12 64GB Black,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373499769,Regular,64GB
Apple iPhone 11 PRO MAX - 64GB - Hvit,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373477838,Regular,64GB
Apple iPhone 11 PRO - 256GB - Hvit,1 600 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=344242048,Regular,256GB
Apple iPhone 11 PRO - Gull,1 400 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373472682,Regular,Unknown
iPhone 11,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373472212,Regular,Unknown
iPhone 12 mini,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373463743,Regular,Unknown
Pent brukt Svart iPhone 11,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=326141443,Regular,Unknown
iPhone 11 Pro,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373438804,Pro,Unknown
iPhone 11 i fin stand selges billig! (128 gb),1 999 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373390406,Regular,128GB
iPhone 12 64GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373369381,Regular,64GB
Ideal of Sweeden deksel +  ( for iPhone 11 pro ),500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=276081479,Regular,Unknown
iPhone 11 128 gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373336267,Regular,128GB
iPhone 13,2 199 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373319189,Regular,Unknown
iPhone 12 64GB Sort,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373282621,Regular,64GB
iPhone 11 (Hvit),2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373278820,Regular,Unknown
Apple iPhone 12 mini 128GB,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373270618,Regular,128GB
iPhone 13 128GB,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373263154,Regular,128GB
iPhone 12 mini 128 gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373229975,Regular,128GB
iPhone 12 rød 64 GB med ny skjerm. Billig!,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373200163,Regular,64GB
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373178166,Regular,Unknown
iPhone 11,1 450 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373169872,Regular,Unknown
iPhone 11 Pro Max,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373154636,Pro Max,Unknown
iPhone 11 pro max,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373133919,Regular,Unknown
iPhone 11 128GB selges,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=372965072,Regular,128GB
iPhone 11 Pro (med 256gb!),1 999 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373061454,Pro,256GB
iPhone 12,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=373054436,Regular,Unknown
